age_calBP,palaeo_co2,palaeo_MGS_temp,modern_co2,modern_MGS_temp,recon_mi,corrected_mi_dongyang,corrected_mi
1655.9,280.57500000000005,12.36931467,332.165,11.5795742,0.330794535,0.5285810125989374,0.46301862336427674
2093.5,276.9,12.2788835,332.165,11.5795742,0.362554604,0.5566238504986704,0.4979481816220422
2239.4,276.7,12.81033616,332.165,11.5795742,0.33059316,0.555058250457085,0.49520286252995427
2385.3,277.15,12.44436816,332.165,11.5795742,0.369150118,0.5730361475796494,0.5132836821058335
2725.7,277.1,15.09533438,332.165,11.5795742,0.324590535,0.6659246716079987,0.6160747395656984
2871.7,275,14.988073,332.165,11.5795742,0.312847941,0.6508939918923559,0.6024151352081425
2968.9,276.3,14.26138899,332.165,11.5795742,0.306397596,0.6100672742636928,0.5518634673823605
3066.1,274.6,13.89844117,332.165,11.5795742,0.342573792,0.6257067444523965,0.5727457419362062
3163.4,275.45000000000005,9.759079003,332.165,11.5795742,0.576732349,0.6374794598132982,0.5749395551779091
3309.3,273.1,11.3482288,332.165,11.5795742,0.462357803,0.6105217689518012,0.555060617202541
3358,273.55,9.804684995,332.165,11.5795742,0.554706666,0.6196195639991958,0.559680819602954
3455.3,274.5,12.41128181,332.165,11.5795742,0.40331504,0.6101117529840973,0.5518494202912448
3601.1,274.2,13.33192885,332.165,11.5795742,0.381771576,0.6378873369530126,0.582158164802143
3844.3,273.45,11.33709656,332.165,11.5795742,0.462025363,0.6142279922250051,0.5533556722007659
4038.9,273.29999999999995,11.09470018,332.165,11.5795742,0.469622669,0.6107585118649914,0.5477428526305086
4087.5,271.7,10.33467509,332.165,11.5795742,0.507613246,0.6080731744635464,0.5465703813043866
4233.3,272.20000000000005,10.80492767,332.165,11.5795742,0.487219558,0.6145107927609598,0.5514874125835791
4427.9,271.3,9.170900855,332.165,11.5795742,0.641864604,0.6824930164330127,0.6144617038176984
4525.1,270.1,11.41982488,332.165,11.5795742,0.417120697,0.5823468390354031,0.5200366256168564
5157.3,269.20000000000005,12.84690941,332.165,11.5795742,0.361863961,0.6102990481653751,0.5456357982761183
5254.5,268.70000000000005,12.9169141,332.165,11.5795742,0.354976128,0.608547106107061,0.5436359538520636
